quechua,spanish
chayaramuqtiykin kusisqa kashani,estoy feliz porque llegaste
manan kusichu mana challwayuq qochaman riyqa huk larupitaq ashkha challwayuq qocha kan chayqa,no es divertido irun lago donde no hay peces cuando hay otros lagos cercanos con mucho
wakman munakuyta qhawachiyqa allin kawsayta apamuwanchis,mostrar sensibilidad hacia los demás proporciona un increíble sentido de armonía
uywa michiq llaqtakunaqa paqucha qarata mast'aykuspa samachisunki,en las comunidades ganaderas te alojan en tendido de cueros de alpaca
truchakuna mayupi kashan,hay truchas en el río
taytay mamaypiwan llank'anku,mi papácon mi mamá trabajan
haciendapi capatasconaqa llullakunan kasqaku,los capataces de las haciendas eran unos mentirosos
mana puriyta yachanchu,no sabe caminar
peruq hatun kusi raymin,la fiesta del perú/día de la independencia
papay chay aqata upyaykuy,"papá ,  tomate esa chicha"
pusaq killayuq wawaqa lat'akachanñan,los bebés de ocho meses ya gatean
chumpiq watuntaqa tawa q'aytumantan utaq aswan mas ashkhamantapas q'eshwakunmi,los pasadores de las fajas pueden trenzarse de cuatrode más hilos
"adobekunatan ruwasharani ,  paran hark'aruwan","estuve haciendo adobes ,  la lluvia nos ha entorpecido"
qankuna illapachay p'unchaw rimankichis,ustedes hablan el jueves
washwaqa manan unutaqa manchakunchu,el pato no tiene miedolas aguas
millay yuyay nini wayllusqayki runapi mana sonqota churaymi,el peor sentimiento que puedo imaginar es no confiar en la persona que más amas en el mundo
"sapa wata ,  ashkha runakuna qhopo onqoymanta wañunku manan qolqenku hampichikunankupaq kanchu","cada año ,  másmás personas mueren de tumores porque carecen de los recursos financieros para el tratamiento"
"hawa runakunaq karrunkuna urmayusqan qhepamanqa ,  runakunaq qapariyninmi uyarikuran","después de la catástrofe de autobuses turísticos ,  se podían escuchar los gritos de las víctimas"
sara qarpanapaqqa yarqhanta unuta pusamusunchis,conduciremos el agua por canales para regar la chacra de maíz
q'oya ichhuqa unuyuq aqokunapi allinta wiñan,la paja de la variedad coya se produce en los lugares húmedos
juanpa wasinpi huk erqe sapa p´unchay waqan,en la casa de juan hay un niño que llora todo los días
"toqti erqekunapi musphayqa ,  khuyaypunin",pensar en niños que están enfermos de malnutrición es verdaderamente deprimente
huk tawa k'uchuqa tawa k'uchuyuqmi,un cuadrado tiene cuatro lados
wawaqa wiñashanmi,el niño va creciendo
kay q'aytuta ishkay ishkaymanta kuruy,ovíllame este hilo poniéndolo de dos
sara sarapi tuparanchis,nos encontramos en el maiza
chay wallpata caldopaq phurucharusaq,pelaré esa gallina para el caldo
wirta ukhupin wiñapupaq sarataqa p'ampamuni,en el jardín tapé maíz para la jora
nisqanmanhina,de acuerdolo que dice
noqa wawqeywan pukllani,yo juego con mi hermano
"waraqoq khishkan chakiyman haykuruwan ,  ama hina kaspa orqorukuway",una espina del cactus se me ha introducido en el pie .  por favor extráemelo
paymi maqawaran,él me pegó
qhelqay imayna rimayniykikunata,escribe tus argumentos
mamaymi wayk´uyta yachachiwan,mi mamá me enseñacocinar
pisi kachiyuq kisuqa p'oshquyanmi,el queso preparado con poca sal se avinagra
kaypiqa nishutan chirin,aquí hace mucho frío
mikhunata khuchiman wikch'uykuy,tirale comida al chancho !
qella warmakunaqa millayllatañan seq'eta ruwarusqaku,los niños ociosos hicieron dibujos feos
ñankunapi tiyaq runakuna chaka ukhupi puñunku sapa tuta,los indigentes duermen debajo de los puentes todas las noches
llaqtamanmi seqaykapunku,se fueron hacia el pueblo
llapallan aylluntinmi sarata waqaychanku,toda la familia está entrojando el maíz
"manan qhepata kutiyta atikunñachu ,  ichaqa allin ñawpaqman puriytan tarina","ya que es imposible volver atrás ,  se debe encontrar la mejor manera de seguir adelante"
mana kachiyuq lecheqa miskhk'illañan,la leche sin sal es muy rico
asnuyki qaparqachayshan,tú burro está rebuznando
unuqa ancha allinmi kurpunchispaq hinallataq qhalilla kananchispaq,el agua en buenosaludable para nuestro cuerpo
muyu muyu wayraqa hallp´ata huqarispa q'oshñitaraq hatarichin,el remolino levantando la tierra produce polvo
maqaytan munawanchis,nos quieren pegar
ayataqa nishuta waqayuspan aparqapunku,llorando mucho se llevaron al cadáver
hatun mankaman hich'ay unuta hinaspa astawan apamuy,"vacía el aguala olla grande ,  luego trae más agua"
"sichus pipas llipsi nispa waqhasunki ,  yanqallamanta kallpayki ñawpaqman lloqsiyta chinkachinki","cuando alguien te llama débil ,  de repente pierdes fuerzaentusiasmo para continuar la lucha contra la adversidad"
phiña papallata mikhunki chayqa wiksaykin qolqolyan,"si comes solamente papa amarga ,  te suelta el estómago"
puna runakunaqa llama kunkamanta husut´ayuqmi puriranku,los pobladores de las punas solían caminar con sandalias hechos de cuero del cuello de las llamas
¿ pitaq chay t'ikakunatari t´iraran ?,quién arrancó esas flores ?
imaymanatan llapan atisqayta ruwashani mana nishuta oqllarunaypaq,estoy haciendo todo lo que puedo para no abrazarlo muy fuerte
kuchuna,cuchillo
huk'ucha,ratón
chinkakuq,fugitivo
muchuy,miseria
yawarchasqa,ensangrentado
k'irisqa,herido
kanasqa,quemado
huchasqa,sentencia
amaru,serpiente
añas,zorrino
apasanka,tarántula
siphiyay,penumbra
chhullunku,escarcha
ch'oque,lechuza
apu,cerro sagrado
chakata,cruz
waka,vaca
michiq,pastor
qasa,helada
sasachaykuna,problemas
ñawrayupa,matematica
onqoykuna,enfermedades
warmiyuq,casado
suwa,ladron
aya,cadaver
wañuchinapaq hampi,veneno
runa sipiq,asesino
qolqe,dinero
chakachikuy,"atorarse ,  ahogarse"
hucha,pecado
chuchu,duro
wañuy,morir
yawar,sangre
chhapchiy,sacudir
ashkha,harto
khatatatay,tiembla
khishka,espina
aqo-aqo,arenal
k'uchunay,arrinconar
t'oqona,"perforador ,  alizna"
chakitaklla,chaquitaclla
wirayay,engordar
chay runa karunchakushan,ese hombre se está alejando
kachamuwaran willanaypaq,me envió para avisarle
wasiymanta lloqsimurani,salí de mi casa
mamayki waqyamushasunki,tú mamá te está llamando
kukuchikuna runakunata manchachin,los fantasmas asustanla gente
ama maqawaychu,no me pegues
taytaykimansi willanki,dice que avisestu papá
pablopiwanmi hamusqa,había venido con pablo
qanpas hamunaykin,tú también debes de venir
institutopi yachaqaqkunaqa tocaspan takinku,los alumnos del instituto cantan tocando
maqaytan munawanchis,nos quieren pegar
nishu phuyusqa kashan,está muy nublado
ashkha tullukunata mach'aypi rikurani,vi muchos huesos en una cueva
mana uyariykichu,no te escucho
chiri wayra wayramushan,un viento frío está soplando
qayna p´unchaw chayamuran,ayer llegó
mana chay runata reqsinichu,no reconozcoese hombre
pay ashkha qolqeyuq,él tiene mucho dinero
paywanmi qhatuna wasipi tuparani,me encontré con él en el mercado
michi q'onchalawpi puñushan,el gato está durmiendo al lado del fogón
paykuna qhawaranku,ellas miraron
puñuq masiyki wañurapun,con quien duermes se ha muerto
"pedro ,  chay runata qhaway","pedro ,  mira esa persona"
paqarinmi k´ita qowi hap'iq risunchis,mañana iremoscazar cuyes silvestres
uywakunataqa warak´awanmi michina,el ganado siempre se pastorea utilizando la honda
mana allinta samaspaqa apurayllan wañurapunchisman,si no respiramos aire podemos morir en menos de un minuto
kawallupi sillakuqtiymi chakaykuna susunkharapun,cuando cabalgo se me adormecen las piernas
chaka tulluymi nanawan͘,me duele el ilşaco
raqra mankamantaqa sut'u sut'upin leche tukurakapun,de la olla rajada gotagota se ha terminado la leche
paqarinmi chay mawk'a wasita thuñichisun,mañana derribaremos esa casa vieja
"huk k'amikuymi kan ""toqro uma""","hay un insulto que dice “cabeza de calabaza"""
may hawapipas rumiqa kallanpuni,en cualquier lugar siempre hay piedras
sasachakuypin kashani,tengo un problema
qanqa wañuy patanpin kashanki,usted está en peligro de muerte
llapayku manchakuyku,todos le tenemos miedo
ayatan tariruyku,encontramos un cadáver
kayllanpin yawar kashan,hay sangre cerca
kinsamantan suwaruwanku,me asaltaron entre tres
suwaqa kuchunantinmi kasqa,el ladrón tenía un cuchillo
alqoqa waqtawanmi chakarachikusqa,el perro se había atorado con una costilla
k'iriyki kaqmanta kicharirukun,mi herida volvióabrirse
uña alqoypa mamanqa wañurapunmi,la madre de mi perrito se murió
"k'uychichay p'unchawtaqa hamunki ,  qonqaruwaqtaq","el día sábado tienes que venir ,  no vayasolvidarte"
akatanqaqa tarpuy wichaypin rikhurimun,el escarabajo reaparece abunda en épocas de sembrío
"watukuq runatataq allqu hap'irunman ,  ¡amachay !","cuidado que el perro muerda al visitante ,  ¡defiéndelo !"
¡wasiyta nina ruphashan yanapawaychis !,"¡ayudenme ,  mi casa se esta encendiando !"
usqulluqa tutan wasikunata wallpa suwakuq rin,el gato montés va de nochelas casasrobar gallinas
"wawatataq chirirunman ,  llikllawan p´istuy","pueda ser que este niño se resfríe ,  ¡envuélvelo con la manta !"
maqt'a taripaptinsi p'asñaqa rumiwan ch'aqikamun,la muchacha empezóapedrear al mozo en cuanto lo alcanzó
chiri hawas mikhuyqa ch'unchullninchista khipuchin,las comidas frías de habas producen oclusión intestinal
"sinchita ch'akirin ,  awkikunatach ari phiñachinku","hay mucha sequía ,  seguramente han ofendidolos espíritus de los cerros"
"allinta chiwchita qhawaychis ,  ankataq aparunman",¡cuíden bienlos pollitos !  no vayallevárselos el águila !
"hanaq pachaqa wichaypi ,  nina rawraqtaq uraypi",el cielo está arribael “inįerno” está abajo
t'ipanawan llikllaykita allinta hap'ichiy,asegura tu mantita con el prendedor
thoqayniymi haya ima llakichá hap'iwanqa,tengo la saliva amarga͗ qué preocupaciones tendré
wawaqa ruphaypi puñurusqa kunanqa ruphapakuycha hap'irunqa,"la niña se había dormido en el sol , ahora tiene una alta įebre"
mana hampisqa k'irinchisqa qhellimanta q'eyachan,en una herida sin curarcon suciedad seguro ha de formarse pus
ch'isi tutan yachay wasipa qhawanankunata p'akirusqaku,anoche habían roto los vidrios de la institución educativa
ninkun huk qella maqt'atas usa tukurapusqa,cuentan queun joven ocioso se lo comieron los piojos
¡alqoykita qatiy !  runatataq kanirunman,¡aleja tu perro !  no vayaser que muerdala gente
kiha churaqmi hamuni,he venido para poner una denuncia /queja
wallawan rimayta munani,deseo hablar con el policía
wawaqa hamp'atu hinaraqmi urmaykamun,el bebé se cayó como un sapo
leqleqaqa atoqta rikuspas anchata waqan,dicen que el ave centinela grita cuando ve al zorro
huklawkunapiqa wakakunaqa lachu mikhusqa qochaman haykunku,en algunos lugares las vacas entranlas lagunascomer llacho
wik´uñaqa alqotas p'itaspa llallin,la vicuña le gana en correr al perro
q'ala chakillan rumi ruminta puriyta manchakuni,siento miedo de caminar descalzo por una vía pedregoza
chay yawarniyki wañusqaqa chika chikallanmantan chinkapunqa,ese tu coágulo de sangre desaparecerá pocopoco
¡imacha chay wasiqa !,¡qué será esa habitación !
"¡imatataq millayta ch'aqwanki ,  manachu runatapas manchakunki !",¡qué feo discutes !  ¡no tienes ni miedola gente !
¿ hak´ataq katitu ac tupun ?,¿ cuánto mide el cateto ac ?
ch'usiq qapariptinqa ima llakipas kallanpunim,"si ulula la lechuza ,  es señal de mal augurio"
mana waqaychakuspalla pukllaqtinchisqa urmayusunmanmi,"si jugamos sin cuidado ,  podemos caernos"
kay pachapiqa tukuy imapas kuyunmi,"en este mundo ,  todo se mueve"
manan allinchu kanman tutakuna puriyqa,no es aconsejable caminar en las noches oscuras
taytaymi makiyman huk challwata churaykamun,mi padre puso un pez en mis manos
wakin t'oqokunaqa nishu ukhun,algunas cavernas son muy profundas
warmakunaqa tutayaypi puriytan anchata manchakunku,los niños tienen mucho miedo de caminar en la oscuridad
orqo patakunaqa phuyusqallapunin kashan,la cima de los cerros casi siempre está cubierta de neblina
tarukaqa ñawin kichasqallan puñun,el venado duerme con los ojos abiertos
qespiqa chunkaman p'akisqan rikhurirun,el espejo apareció quebrado en diez pedazos
tukulla chay chaypi tuta puñun,sólo el buho duerme por ahí
noqaykuqa hampi qorakunallawanmi hampikurayku,nosotros nos curábamos solamente con hierbas
llapallankun llaqtaman rishanku,todos están yendo al pueblo
chay erqekunaqa qaraywa hinan kumparayasharanku,esos dos niños estaban echados como lagartos
wayra muyuqa manan khaynaqa kay llaqtapiqa kanchu,el viento remolino no es común en estos pueblos
yaqa huk killañan onqoywan kashani,hace ya más de un mes que estoy enfermo
uturunkuqa sach'akunamanpas siqanmi,el jaguar trepa los árboles
nina rawrayqa ukhu pachapin,el “infierno” está abajo
wakamayuqa runa hinan qatipakuspa rimarin,el papagayo imita hablar casi como otras personas
runaqa wamp'upi huk llaqtamanta wak llaqtaman rin,la gente se traslada de un pueblootro en botes
kay uywaqa mana ashka millmayuqmi,este animal tiene poca lana
camionqa runakunantinmi qaqaman pasaykun,el camión se cayó con sus pasajeros al río
wik'uñaqa pacha mamaq uywanmi,la vicuña es el ganado de la madre tierra
mamayqa makiypi t'ipi t'ipillan awayta yachachiwan,mi madre me enseñótejer pelizcándome en las manos
kay llank'ayqa kikin yawarninchismi,este es el trabajo de nuestra sangre
chayaqtiykuqa ñan pampapiña kashasqa,cuando llegamos ya estaban en el piso
runaqa anchatan mancharikun,el hombre se asustó demasiado
alqoqa kanikuspan tuta runata muyurin,el perro rodea al ganado ladrando cada noche
chay p'ukutaqa alqon llaqwasharan,el perro estaba lamiendo ese plato
titi misiqa ch'umpi oqe,el gato montés es de color café plomizo
imapas mana allin yuyaymunasqaqa chinkaripullanmi,en cambio cualquier cosa sin fundamento se desvanece
allin cimentasqa wasiqa manan urmaykunchu,las casas con buena cimentación no se derrumban
hatun p´uyñukunan kashanman,puede haber tinajas grandes
chay pomochapi hampitaqa aytirispan upyana,la medicina de ese pomito hay que tomarla agitándola
alqo hamuqtinqa rumiwan p'ananki,si viene el perro le arrojas con piedras
chay suwa wallpaqa choqllotan t'oqpirusqa,esa gallina ladrona había picoteado el choclo
kay uraskamachu ch'achara umantin kanki,hasta estas horas estás con el cabello desgreñado
¿ maypitaq tiyan chay ch'aska ñawi sipasri ?,¿ dónde vive esa señorita de pestañas erizadas ?
qoritaqa mayupi aqopin aytispan tarikun,el oro en polvo se consigue relavando la arena de los ríos
tuyaykuytaqa kikillanmi wakaqa wasiman kutipun,al anochecer el ganado de por sí retornala casa
sipasqa sapallansi ch'ukllanmanta chitanta qhawan,dicen que la muchacha sola velaba sus ovejas desde su choza
p'achapi ch'iyataqa t'impuchispan wañuchina,las liendres se matan hirviendo la ropa infestada
nak'asqa wallpaq kunkanmanta yawarqa ch'ikllimuran,la sangre de la gallina degollada saleborbotones
mana allin allwisqa llikllaqa ch'ullpasapam lloqsin,las mantas mal urdidas salen con las esquinas disparejas
¿ maypitaq unucha kanman ?,¿ dónde habrá agua ?
noqaqa kani kiswar pampa ayllumanta͘,yo soy de la comunidad de kishuar pampa
"runaqa ch'uyapi kawsakuna ,  mana piwan cheqninakuspa",la gente debe vivir limpia de toda culpasin odio
chay alqoykiqa wak t'oqomanmi uñankunata astarqusqa͘,esa tu perra habşa trasladado sus crşasotra madriőuera
hamak'uqa uywakunaq yawarninta ch'unqaspa tulluyachin,la garrapata enflaquecelos animales chupándoles la sangre
mana pichasqa wasipi tiyaq wallpaq k'akaranpiqa yanaraq ithapas tiyaykusqa,en la cresta de las gallinas que viven en casas sucias se alojan muchos pulgones
wawakunaqa abejaq mishk'intan orqomunku,los niños recogen miel de abeja de los panales
misk'i yawarniyuq runakunas llakuntaqa q'aymallataraq mikhunanku,los diabéticos deben consumir llacón no muy maduro
tunas raphipi tiyaq uruchawanqa ñawray puka llimp'ikunata tullpunku,con el insecto de la tuna llamado cochinilla se tiñe toda la gama del rojo
yawarta thoqaq runaqa tisi onqoywanmi kashan,la persona que al toser esputa sangre seguro que tiene la tuberculosis
q'ayma yawarniyuq runaqa sut'illa q'ello q'ello uyayuq,la gente anémica es fácil de reconocerla .  ellos tienen la cara de color amarillento
chay runaqa yawar masiymi,esa persona es mi pariente
atoq supayqa huk p'asñachatas q´oturusqa,dicen que el zorro endemoniado había engañadouna muchachita
payqa mamaypa sullk'a kakanmi,el es el tio menor de mi madre
"chay uñaqa waqrakunmi ,  sumaqllata apamunki","esa vaquillona suele cornear ,  vasarrear con cuidado"
manan desodorantita oqariranchu paypa asnaynillantan munaran,no usó desodorante porque le gustaba su olor natural
"manan yachanichu imanaqtinmi ,  musqhoyniykunaqa manan cheqtachu ruwakun","no sé por qué ,  pero mis sueños nunca se hacen realidad"
"huk qhopo kurpunchispi hatariqtinqa ,  llapan kurpumanmi mirarinqa","un tumor que se desarrolla dentro de nosotros ,  comenzaráextenderse por todo el cuerpo"
"unaymi yaqa kushka tiyarayku ,  mana nishutachu tarinakuspa","hemos estado viviendo uno al lado del otro por algún tiempo ,  sin encontrarnos con demasiada frecuencia"
"lloq´e makipi susunkhay ,  sonqo phatakiy qallariymi kanman","un estremecimiento en la mano izquierda ,  podría ser el primer síntoma de un ataque al corazón"
"karru urmasqanpin qosan wañuran ,  chaymi klara mana karruta apayta atinchu","dado que su marido murió en un accidente automovilístico ,  klara no puede manejar"
"¡haqay tutapi ,  pay wañusqa aychakunata mikhushasqa !","¡allí en la noche ,  el estaba comiendo carne de cadáveres !"
kamachikuq sapanga karrupi puriq runakunata waqhasqa manañan hayk´aqpas kutimusqakuñachu,el personal llamócada uno de los pasajerosya no regresaron jamas
chunka phishqayuq erqe kinkin hisp´ana wasinpi seq´orukusqa,el niño de  años se ahorcó en la ducha en su propio baño
machasqa runa tranvía nisqaman waykuqtin pasaqta asnasqa,el borracho que entró en el tranvía emitió un olor terrible
machasqa runa pasaqta maqasqa chunka ishkayniyuq warmi erqeta runakunaq pasanan ñanpi,el hombre borracho golpeó fatalmenteuna niña de siete años en el cruce peatonal
"ch´eqmiqa mayqin runaq kawsaynintapas tukurachinmanmi ,  mana huchayuq kaqtapas","un rumor puede acabar con la carrera de cualquiera ,  incluso si no es culpable"
"hawa runakunaq karrunkuna urmayusqan qhepamanqa ,  runakunaq qapariyninmi uyarikuran","después de la catástrofe de autobuses turísticos ,  se podían escuchar los gritos de las víctimas"
"urmaykusqay qhepamanqa ,  waqtanniy tullu p´akisqa ,  ishkaynin wich´uy ,  umay p´akisqa kasqa","después del accidente ,  me diagnosticaron una fractura espinal ,  ambas tibias rotasuna fractura de cráneo"
"manan huk simanapi maqchikusqachu ,  imachá pasasqa","no se había bañado en una semana ,  algo estaba pasando"
droga qhatuyqa mafiaq allin qhawasqanmi kashan ashkha runaq kawsaynintan pantachin,el contrabando de drogas está completamente controlado por la mafiaha arruinado la vida de muchas personas
pasaq millaypunin manan pimanpas qokunchu maqanakuypi runakunaq wañusqan,es aterrador que básicamentenadie le importe las víctimas inocentes de la guerra
wañuyniypa yuyaynin qatipawan,la conciencia de mi propia muerte me persigue
"sarataq apiyarunman ,  apuraylla imawanpas taparuy","ese maíz puede mojarse ,  tápalo por favor con algo"
ayataqa aya p'ampana pampamanñam apapunku,el cadáver ya lo llevaronla pampa del cementerio
¿ sipisqachu wañun icha ima sasachaypichu wañun ?,¿ ha sido un homicidioun accidente ?
"pedro ordoñezta ,  maqawasqanmanta denuncia churayta munani",quiero denunciarpedro ordoñez por agresión
¿ hayk'a qolqetan suwakuranku ?,¿ cuánto dinero le fue sustraido ?
¿ hayk'aqtaq suwakusqanta watupakuran ?,¿ cuándo se dio cuenta del hurto ?
wasiyman chayaspanan yachakurani,me di cuenta cuando lleguémi casa
ishkay mama reqsisqan lliwta rikusqa,dos mujeres desconocidas vieron todo
mana imatapas pakanichu hampiq,no escondo nada doctor
"ari ,  qosaymi niwan ama imatapas ninaypaq","sí ,  mi esposo me ha dicho que no diga nada"
tapunqakun imaynas kasqanta willananpaq,le harán preguntas para que explique lo que sucedió
¿ suwakuna imayna kasqanta ninkimanchu ?,¿ puede describirlos ladrones ?
¿ imaynataq hatun taytan p'achasqa karan ?,¿ cómo estaba vestido su abuelo ?
paña makinpi k'illa kachqa,tenía una cicatriz en el brazo derecho
hukninmi kuraq hinallataq wira karan,uno era mayormás gordo
¡ususiytan qosan maqarapuran !,¡mi hija ha sido agredida por su esposo !
"p'achaykipas ,  sapatupas ,  makillaykipi kachun","tengala mano ropa ,  zapatos"
¿ kanchu mayllamanpas ripunaykipaq ?,¿ tiene usted otro lugardónde ir ?
¿ wasiykimanta lloqsinanta munankichu ?,¿ quiere usted que se vaya de su casa ?
millay onqoykunaqa mana pipas yachasqallanmi mirarin,las peores enfermedades son aquellas que se desarrollan sin que nadie lo sepa
millaypunin sichus imatapas runa ruwan huchayuqhina qhawakun,es horrible cuando una persona hace algo que lo hace sentir culpable
"toqti erqekunapi musphayqa ,  khuyaypunin",pensar en niños que están enfermos de malnutrición es verdaderamente deprimente
runata t´aqana mana huñuyninpi kasqanmanta chayqa ancha khuyaypunin,descartarla gente simplemente porque no pertenecensu grupo es triste
wañuytaqa llallipankin ichaqa kawsasqa kasparaqpis,hay una especie de muerte que enfrentas incluso mientras vives
kanmi huk p´unchay waqanallaykipaq,existe un día en el cual solo tienes que llorar
millay mosqhoyniykun kanki manan imatapas ruwayta atiykuchu,eres nuestra peor pesadillano sabemos qué hacer
runakunaqa phiña kaspa manan waqankuchu ichaqa manchakuymataqa,"la gente generalmente no llora cuando están molestos ,  sino cuando están asustados"
wayllusqanchis runakunaqa manan wañunankuchu,las personas que amamos no deberian morir
waqay ñawinchisman hamun sichus sumaq allin noqanchispaq karqan chayqa,las lágrimas vienennuestros ojos cuando perdemos algo que es importante para nosotros
mosqhoyninchis wakchayan sichus kikillanta ruwanchis,un signo del empobrecimiento de la imaginación es la absurda repetición
"qosan mana warminpa mikhunta munanchu ,  nishu wiran nispa","el marido no permite que su esposa coma ,  afirmando que ella es demasiado gorda"
qosan warminta maqasqa q´oñi papakuna manan tuta mikhunapi qarakusqanmanta,el marido golpeósu esposa porque las papas calientes no se sirvieron con la cena
noqanchispaq llaqtaqa pasaq millaytan asnashan,las ciudades estaban llenas de un hedor inimaginable para nosotros
llapan qolqeymi suwasqa kunantaq manan imatapas ruwayta atinichu,mis últimos centavos fueron robadosahora no se que hacer
"manan llapantachu cancerniymanta qonqani ,  manaraqmi llakiyta chaskinichu","no me olvido por completo de mi cáncer ,  porque aún no acepto mi tristeza"
millay yuyay nini wayllusqayki runapi mana sonqota churaymi,el peor sentimiento que puedo imaginar es no confiar en la persona que más amas en el mundo
manan millay imapas kanchu aswanpas wasipi onqosqa runahina,no hay nada peor que un hombre enfermo en casa
manan kanchu imapas millay kinray ñanpi sinchi ch´aqwahina kaqtin,no hay nada peor que el ruido monótonointenso que se produce cerca de una carretera
manan imapas millay kanchu pisi pisimanta wañuyhina,no hay nada más horrible que una muerte agonizante
k'irisqa,herido
wakcha,huérfano
llulla,mentira
wañusqa,muerto
mana kaqniyuq,pobre
machula,anciano
amaychura,caquexia
k´amiy,reprender
chakata,cruz
chikchi,granizo
chukchu,paludismo
aquyraki,infortunio
tuta,noche
iphu,llovizna
mallki,árbol
maway,primeras papas
qasa,helada
rurukuna,granos
sasachaykuna,problemas
yawar,sangre
qarqusqa,despreciado
huchasapa,culpable
ruphasqa,quemado
sipikuq,suicida
t'aqasqa,separarse
ñak'arichiy,torturar
maqay,violencia física
llamk'ay,trabajo
ñak'ariy,"padecer ,  sufrir"
onqoy,enfermarse
p'itiy,"arrancar ,  reventar"
qhenchachay,contaminar de mala suerte
upallay,enmudecer
urmay,caer
ñak´ariy,"sufrir necesidades ,  desperdiciarse"
utirayay,"quedarse rendido ,  inmovilizado"
wanay,escarmentar
yukay,engañar
tukuy,"dar fin ,  rematar"
thutayay,apolillarse
thantayay,"envejecer ,  raer la ropa usándola"
tanqay,empujar
mana atinichu,no puedo
lamparay chinkaruwan,se me perdió mi lampa
"mana haykunchu ,  nishu hatunmi",no entra porque es demasiado grande
kiruy nanawan,me duele la muela
mana allinta ruwawan,me hace mal
qanwanmi rimayta munani,quiero hablar contigo
para chayashan,está lloviendo
mamaysi wañukapusqa,dice que mi madre murió
pelotata hayt'arani,solía jugar fútbol
osqhayllan llaqtata rishani,están yendo rápido al pueblo
khishka chaykiyta chhukuruwan,la espina pinchó mi pie
manan imapas mikhunapaq kanchu,no hay nada para comer
mikhuchinaypaqmi mañakuwaran,me pidió que le diera de comer
nishutan chirimanta ñak'arini,sufro mucho con el frío
mana mikhusqanmi tulluyarapun,se enflaqueció por no comer
juan ashkha ususiyuq,juan tiene muchas hijas
mana puriyta yachanchu,no sabe caminar
machula wañurun,el anciano falleció
kay t'antaqa nishuta ch´akirapusqa,este pan se ha puesto muy duro
paymi maqawaran,él me pegó
marion chhulliwan onqorapun,mario se ha enfermado con la gripe
manan qhelqayta yachanichu,no sé escribir
"wira runaqa ashkhata mikhun ,  ichaqa p'itayta mana atinchu","las personas gordas comen bastante ,  pero tienen dificultades para correr"
aman noqamanqa nishuta chinpamuwaychu,no te aproximes muchomí
imamanta llankipakushanki ?,¿ por qué suspiras ?
"mana paraqtinqa ,  hanaq pachapas anqasmanraqmi tukupun","cuando no vallover ,  hasta el cielo se pone de color azul"
"ima sasachakuypas atikullanmi ,  ichaqa wañuyllan mana atikunchu",cualquier problema tiene solución menos la muerte
omnibusmi runakunantin qaqaman qaqapaykun,un bus con pasajeros se ha caído al barranco
huk camionmi warmita sarurapun,un camión ha atropelladouna señora
karru apaqqa wañusqan kashan,el chofer está muerto
ishkaynin runan maqanarukun,los dos hombres se pelearon
sisiqa parananta yachaspanmi mikhunanta huñun,la hormiga junta sus alimentos sabiendo la epoca de lluvia
tayta kurapas aqsuyuqmi kaq,los sacerdotes usaban sotanas
chaka tulluymi nanawan,me duele el ilíaco
wawaqa mancharikuspa chawpi mayupi waqayta qallarin,la niña asustada empezóllorar en medio del río
chiqnikuyqa manapunin allinchu,la envidia nunca es buena
hamak'uqa uywakunaq yawarninta ch'unqaspan tulluyachin,la garrapata enflaqueselos animales chupándoles la sangre
hamp'atutaqa manan wañuchinachu,no hay que matarlos sapos
michiqa wawqeypa makintan kanirparin,el gato mordió la mano de mi hermano
kawsayniyqa manan kawsaychu,mi vida no es vida
kusi kusichaqa parananpaqmi uraykamun,la arañita desciende por su hilo señalando que lloverá
khallwakunaqa parananpaqmi phawaykachan,la aparición de las golondrinas anuncia la presencia de lluvias
ch'unchull khipuwanmi chay runaqa wañuran,esa persona murió con oclusión intestinal
phuyu kuruqa p'achayta mikhurapusqa,la polilla había carcomido mi ropa de lana
washwaqa manan unutaqa manchakunchu,el pato no tiene miedolas aguas
mach'aqllaña runakunapaqa chawpi kawsayninmi tukukapun,las personas que se embriaganmenudo pierden parte de su vida
machu runaqa tawnayuqmi puriykachakunpas,el hombre anciano camina con bastón
chay alqochaypa mamanqa wañupunmi,la madre de mi perrito se murió
chay qochas huk runata hullp'urapusqa,dicen que la laguna se tragóesas personas
manan paqarinqa hamuyta atisaqchu,el día de mañana no podré venir
chirimantan chaki tulluykunan nanawan,me duelen las articulaciones de los pies por el frío
mana kuchuyuq kasqaymi nishuta umay nanawan,me duele la cabeza por estar sin sombrero en el sol
ruphaypi tarpusqa mallkichakunaqa osqhayllan ch´akirapun,las plantitas transplantadas en pleno sol se marchitan muy rápidamente
michiqa huk'uchachatan k'umuykachachinraq,el gato humilló al ratón
manan mishk'i ruruyuq sach'akunaqa kanchu,no hay ningún árbol frutal
phiñasqa kaspaqa manan imatapas allintaqa ruwasunchu,"si estamos enojados ,  nunca podemos hacer bien las cosas"
tayta juanqa chaki tulluntan q'ewirukusqa,el señor juan se había quebrado el hueso del pie
qara t'iqichuta t'aqllaspa lloq'e maki uña ruk'anayta q'ewirqukuni,"al volear la pelota ,  me torcí el dedo meñique de la mano izquierda"
paqarinqa manan pukllaq riytaqa atisunmanchu,mañana no podremos irjugar
juanqa manan khuyakuyta yachanchu,juan no sabe amar
rikuwanki chayqa waqasaqmi,"si me ves ,  lloraré"
